14	-77	3	15	-89	8	16	-73	2	
14	-80	3	15	-86	7	16	-72	2	
14	-99	12	15	-81	7	16	-99	12	
14	-99	12	15	-99	12	16	-74	2	
14	-73	2	15	-85	5	16	-99	12	
14	-67	1	15	-77	3	16	-99	12	
14	-99	12	15	-99	12	16	-74	2	
14	-66	1	15	-99	12	16	-99	12	
14	-66	1	15	-99	12	16	-99	12	
14	-67	1	15	-78	3	16	-78	3	
14	-99	12	15	-78	3	16	-99	12	
14	-66	1	15	-99	12	16	-79	3	
14	-99	12	15	-77	3	16	-79	4	
14	-68	1	15	-78	3	16	-82	4	
14	-67	1	15	-75	3	16	-81	4	
14	-65	1	15	-75	3	16	-83	5	
14	-68	1	15	-76	3	16	-80	5	
14	-67	1	15	-77	3	16	-79	4	
14	-68	1	15	-79	3	16	-79	4	
14	-68	1	15	-80	4	16	-86	5	
14	-99	12	15	-99	12	16	-88	7	
14	-68	1	15	-80	4	16	-91	9	
14	-67	1	15	-78	4	16	-77	6	
14	-68	1	15	-78	3	16	-77	3	
14	-66	1	15	-79	3	16	-97	7	
14	-67	1	15	-77	3	16	-99	12	
14	-66	1	15	-76	3	16	-83	5	
14	-66	1	15	-79	3	16	-84	5	
14	-66	1	15	-78	3	16	-74	4	
14	-69	1	15	-77	3	16	-88	4	
14	-67	1	15	-78	3	16	-75	5	
14	-66	1	15	-86	5	16	-73	2	
14	-67	1	15	-79	5	16	-82	3	
14	-64	1	15	-80	4	16	-73	3	
14	-65	1	15	-81	4	16	-71	2	
14	-67	1	15	-99	12	16	-77	2	
14	-99	12	15	-78	3	16	-81	4	
14	-66	1	15	-80	4	16	-77	4	
14	-66	1	15	-81	4	16	-81	4	
14	-66	1	15	-80	4	16	-84	5	
14	-66	1	15	-82	4	16	-74	4	
14	-67	1	15	-99	12	16	-87	4	
14	-68	1	15	-80	4	16	-90	8	
14	-67	1	15	-76	3	16	-81	6	
14	-69	1	15	-74	3	16	-83	5	
14	-70	2	15	-79	3	16	-85	6	
14	-68	1	15	-78	3	16	-88	7	
14	-67	1	15	-82	4	16	-78	5	
14	-68	1	15	-81	5	16	-79	3	
14	-69	1	15	-82	5	16	-77	3	
14	-68	1	15	-79	4	16	-82	4	
14	-68	1	15	-80	4	16	-99	12	
14	-68	1	15	-79	4	16	-99	12	
14	-66	1	15	-80	4	16	-76	3	
14	-70	1	15	-80	4	16	-76	3	
14	-69	2	15	-86	5	16	-75	3	
14	-67	1	15	-77	5	16	-87	4	
14	-66	1	15	-78	3	16	-86	7	
